state,date,M1,M2,M3,M4,V1,V2,V3,V4,D1,D2,D3,TR1,TR2,H1,H2,T1,T1a,T1b,T1c,T0,I1,E1,E1a,R1,Xa,Xb,cityname,abert20,abert21,primeira_aula,IEAD,mask,vent,dist,tran,higi,test,imun,aead,ISRAP
AC,03mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,04mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,05mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,06mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,07mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,08mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,09mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,10mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,11mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
AC,12mar2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rio Branco,0,0,0,.40740743,0,0,0,0,0,0,0,40.740742,339.5062
