state,date,M1,M2,M3,M4,V1,V2,V3,V4,D1,D2,D3,TR1,TR2,H1,H2,T1,T1a,T1b,T1c,T0,I1,E1,E1a,R1,IEAD,Xa,Xb,mask,vent,dist,tran,higi,test,imun,aead,ISRAP
TOTAL,25feb2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,26feb2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,27feb2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,28feb2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,01mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,02mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,03mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,04mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,05mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,06mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,07mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,08mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,09mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,10mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,11mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,12mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,13mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,14mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,15mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,16mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,17mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,18mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,19mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,20mar2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
