state,city,date,country,C1,C1_geo,C2a,C2a_geo,C2b,C2b_geo,C3,C3_geo,C4,C4_geo,C6,C6_geo,C9,C9_geo,SPDS_CGRTBRFED
RO,Porto Velho,09apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,10apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,11apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,12apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,13apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,14apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,15apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,16apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,17apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,18apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,19apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,20apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,21apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,22apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,23apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,24apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,25apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,26apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,27apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,28apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Porto Velho,29apr2020,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
