state,spatial_unit,date,C1,C1_geo,C2a,C2a_geo,C2b,C2b_geo,C3,C3_geo,C4,C4_geo,C6,C6_geo,C9,C9_geo,SPDS_CGRTBRFED
MG,Belo Horizonte,13apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,14apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,15apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,16apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,17apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,18apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,19apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,20apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,21apr2020,3,1,2,1,0,0,2,1,4,1,0,0,0,0,44.444447
MG,Belo Horizonte,22apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,23apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,24apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,25apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,26apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,27apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,28apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,29apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,30apr2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,01may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,02may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,03may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,04may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,05may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,06may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,07may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,08may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,09may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,10may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,11may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,12may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
MG,Belo Horizonte,13may2020,3,1,2,1,0,0,2,1,4,1,0,0,3,1,56.944447
